,country,article_title,revision_id,article_quality,population,region
0,Afghanistan,Shahjahan Noori,1099689043,GA,41.1,SOUTH ASIA
1,Afghanistan,Abdul Ghafar Lakanwal,943562276,Start,41.1,SOUTH ASIA
2,Afghanistan,Majah Ha Adrif,852404094,Start,41.1,SOUTH ASIA
3,Afghanistan,Haroon al-Afghani,1095102390,B,41.1,SOUTH ASIA
4,Afghanistan,Tayyab Agha,1104998382,Start,41.1,SOUTH ASIA
5,Afghanistan,Ahmadullah Wasiq,1109361754,Start,41.1,SOUTH ASIA
6,Afghanistan,Aziza Ahmadyar,1087211008,Start,41.1,SOUTH ASIA
7,Afghanistan,Muqadasa Ahmadzai,1082489593,Start,41.1,SOUTH ASIA
8,Afghanistan,Mohammad Sarwar Ahmedzai,1038918070,Start,41.1,SOUTH ASIA
9,Afghanistan,Amir Muhammad Akhundzada,1069322182,Start,41.1,SOUTH ASIA
10,Afghanistan,Nasrullah Baryalai Arsalai,1095526840,Start,41.1,SOUTH ASIA
11,Afghanistan,Mohammad Asim Asim,1013838830,Stub,41.1,SOUTH ASIA
12,Afghanistan,Atiqullah Atifmal,1112407669,Start,41.1,SOUTH ASIA
13,Afghanistan,Abdul Rahim Ayoubi,1108886061,Start,41.1,SOUTH ASIA
14,Afghanistan,Alhaj Mutalib Baig,1111494041,Start,41.1,SOUTH ASIA
15,Afghanistan,Ismael Balkhi,1112534409,Start,41.1,SOUTH ASIA
16,Afghanistan,Abdul Baqi Turkistani,889226470,Stub,41.1,SOUTH ASIA
17,Afghanistan,Mohammad Ghous Bashiri,1102150221,Start,41.1,SOUTH ASIA
18,Afghanistan,Abas Basir,1098419766,C,41.1,SOUTH ASIA
19,Afghanistan,Jan Baz,997027082,Stub,41.1,SOUTH ASIA
20,Afghanistan,Ahmad Behzad,1103948295,Start,41.1,SOUTH ASIA
21,Afghanistan,Bashir Ahmad Bezan,1060707209,Start,41.1,SOUTH ASIA
22,Afghanistan,Rafiullah Bidar,977208323,Stub,41.1,SOUTH ASIA
23,Afghanistan,Mohammad Siddiq Chakari,1105913099,Stub,41.1,SOUTH ASIA
24,Afghanistan,Cheragh Ali Cheragh,1087211968,Start,41.1,SOUTH ASIA
25,Afghanistan,Nasir Ahmad Durrani,988838315,Stub,41.1,SOUTH ASIA
26,Afghanistan,Elay Ershad,1102489654,Stub,41.1,SOUTH ASIA
27,Afghanistan,Muhammad Hashim Esmatullahi,949986748,Stub,41.1,SOUTH ASIA
28,Afghanistan,Ezatullah (Nangarhar),947885788,Stub,41.1,SOUTH ASIA
29,Afghanistan,Aimal Faizi,1033383351,Stub,41.1,SOUTH ASIA
30,Afghanistan,Mohammad Nasim Faqiri,1098051193,Start,41.1,SOUTH ASIA
31,Afghanistan,Mohammad Nazar Faqiri,1095525798,Stub,41.1,SOUTH ASIA
32,Afghanistan,Sharif Ghalib,1041460606,B,41.1,SOUTH ASIA
33,Afghanistan,Hashmat Ghani Ahmadzai,1112933356,C,41.1,SOUTH ASIA
34,Afghanistan,Abdul Ghani Ghani,1072441893,Stub,41.1,SOUTH ASIA
35,Afghanistan,Ashraf Ghani,1113195582,B,41.1,SOUTH ASIA
36,Afghanistan,Abdul Samad Ghaus,1072271854,Stub,41.1,SOUTH ASIA
37,Afghanistan,Ghulam Ghaus,1109361872,Stub,41.1,SOUTH ASIA
38,Afghanistan,Ghulam Muhammad Ghobar,1108886395,Stub,41.1,SOUTH ASIA
39,Afghanistan,Mohammad Gul (Helmand Council),1092523687,Stub,41.1,SOUTH ASIA
40,Afghanistan,Ghulam Haider Hamidi,1095018556,Start,41.1,SOUTH ASIA
41,Afghanistan,Rangina Hamidi,1104280812,C,41.1,SOUTH ASIA
42,Afghanistan,Abdul Malik Hamwar,1100874645,Stub,41.1,SOUTH ASIA
43,Afghanistan,Sayed Zafar Hashemi,1112804808,Start,41.1,SOUTH ASIA
44,Afghanistan,Qutbuddin Hilal,1104423275,Start,41.1,SOUTH ASIA
45,Afghanistan,Shahnaz Himmeti,909966254,Stub,41.1,SOUTH ASIA
46,Afghanistan,Anarkali Kaur Honaryar,1069574154,Start,41.1,SOUTH ASIA
47,Afghanistan,Mahboba Hoqomal,1092518990,Stub,41.1,SOUTH ASIA
48,Afghanistan,Musa Hotak,1094201417,Start,41.1,SOUTH ASIA
49,Afghanistan,Mirza Muhammad Ismail,1073524466,C,41.1,SOUTH ASIA
50,Afghanistan,Sayed Jalal,1078580238,Start,41.1,SOUTH ASIA
51,Afghanistan,Said Tayeb Jawad,1093621927,C,41.1,SOUTH ASIA
52,Afghanistan,Faizullah Kakar,1108932917,C,41.1,SOUTH ASIA
53,Afghanistan,Amin Karim,1106333491,C,41.1,SOUTH ASIA
54,Afghanistan,Sayed Jalal Karim,1060701067,Start,41.1,SOUTH ASIA
55,Afghanistan,Ahmed Wali Karzai,1090245979,GA,41.1,SOUTH ASIA
56,Afghanistan,Khadija Zahra Ahmadi,1115331693,Stub,41.1,SOUTH ASIA
57,Afghanistan,Hafizullah Shabaz Khail,1092416288,Start,41.1,SOUTH ASIA
58,Afghanistan,Rouh Gul Khairzad,925562571,Stub,41.1,SOUTH ASIA
59,Afghanistan,Masoud Khalili,1103105365,GA,41.1,SOUTH ASIA
60,Afghanistan,Mohammad Khan (athlete),1070779097,Stub,41.1,SOUTH ASIA
61,Afghanistan,Samoud Khan,1010948755,Start,41.1,SOUTH ASIA
62,Afghanistan,Farzana Kochai,1079430136,Stub,41.1,SOUTH ASIA
63,Afghanistan,Farida Kuchi,1109436134,Start,41.1,SOUTH ASIA
64,Afghanistan,Baran Khan Kudezai,1106151353,Start,41.1,SOUTH ASIA
65,Afghanistan,Azizullah Lodin,1102817004,Start,41.1,SOUTH ASIA
66,Afghanistan,Razaq Mamoon,1100189662,Start,41.1,SOUTH ASIA
67,Afghanistan,Fazel Ahmed Manawi,1106464575,Stub,41.1,SOUTH ASIA
68,Afghanistan,Moeen Marastial,1102907176,Start,41.1,SOUTH ASIA
69,Afghanistan,Ahmad Massoud,1112608262,C,41.1,SOUTH ASIA
70,Afghanistan,Ahmad Wali Massoud,1108236868,Start,41.1,SOUTH ASIA
71,Afghanistan,Mohammad Daud Miraki,1112192884,C,41.1,SOUTH ASIA
72,Afghanistan,Abdul Sattar Mirzakwal,1044450376,Stub,41.1,SOUTH ASIA
73,Afghanistan,Abdul Karim Misaq,1052669338,Stub,41.1,SOUTH ASIA
74,Afghanistan,Ali Mohammad (politician),1050463798,Stub,41.1,SOUTH ASIA
75,Afghanistan,Nasruddin Mohseni,1095044526,Start,41.1,SOUTH ASIA
