country,article_title,revision_id,article_quality,population,region
Afghanistan,Shahjahan Noori,1099689043,GA,41.1,SOUTH ASIA
Afghanistan,Abdul Ghafar Lakanwal,943562276,Start,41.1,SOUTH ASIA
Afghanistan,Majah Ha Adrif,852404094,Start,41.1,SOUTH ASIA
Afghanistan,Haroon al-Afghani,1095102390,B,41.1,SOUTH ASIA
Afghanistan,Tayyab Agha,1104998382,Start,41.1,SOUTH ASIA
Afghanistan,Ahmadullah Wasiq,1109361754,Start,41.1,SOUTH ASIA
Afghanistan,Aziza Ahmadyar,1087211008,Start,41.1,SOUTH ASIA
Afghanistan,Muqadasa Ahmadzai,1082489593,Start,41.1,SOUTH ASIA
Afghanistan,Mohammad Sarwar Ahmedzai,1038918070,Start,41.1,SOUTH ASIA
Afghanistan,Amir Muhammad Akhundzada,1069322182,Start,41.1,SOUTH ASIA
Afghanistan,Nasrullah Baryalai Arsalai,1095526840,Start,41.1,SOUTH ASIA
Afghanistan,Mohammad Asim Asim,1013838830,Stub,41.1,SOUTH ASIA
Afghanistan,Atiqullah Atifmal,1112407669,Start,41.1,SOUTH ASIA
Afghanistan,Abdul Rahim Ayoubi,1108886061,Start,41.1,SOUTH ASIA
Afghanistan,Alhaj Mutalib Baig,1111494041,Start,41.1,SOUTH ASIA
Afghanistan,Ismael Balkhi,1112534409,Start,41.1,SOUTH ASIA
Afghanistan,Abdul Baqi Turkistani,889226470,Stub,41.1,SOUTH ASIA
Afghanistan,Mohammad Ghous Bashiri,1102150221,Start,41.1,SOUTH ASIA
Afghanistan,Abas Basir,1098419766,C,41.1,SOUTH ASIA
Afghanistan,Jan Baz,997027082,Stub,41.1,SOUTH ASIA
Afghanistan,Ahmad Behzad,1103948295,Start,41.1,SOUTH ASIA
Afghanistan,Bashir Ahmad Bezan,1060707209,Start,41.1,SOUTH ASIA
Afghanistan,Rafiullah Bidar,977208323,Stub,41.1,SOUTH ASIA
Afghanistan,Mohammad Siddiq Chakari,1105913099,Stub,41.1,SOUTH ASIA
Afghanistan,Cheragh Ali Cheragh,1087211968,Start,41.1,SOUTH ASIA
Afghanistan,Nasir Ahmad Durrani,988838315,Stub,41.1,SOUTH ASIA
Afghanistan,Elay Ershad,1102489654,Stub,41.1,SOUTH ASIA
Afghanistan,Muhammad Hashim Esmatullahi,949986748,Stub,41.1,SOUTH ASIA
Afghanistan,Ezatullah (Nangarhar),947885788,Stub,41.1,SOUTH ASIA
Afghanistan,Aimal Faizi,1033383351,Stub,41.1,SOUTH ASIA
Afghanistan,Mohammad Nasim Faqiri,1098051193,Start,41.1,SOUTH ASIA
Afghanistan,Mohammad Nazar Faqiri,1095525798,Stub,41.1,SOUTH ASIA
Afghanistan,Sharif Ghalib,1041460606,B,41.1,SOUTH ASIA
Afghanistan,Hashmat Ghani Ahmadzai,1112933356,C,41.1,SOUTH ASIA
Afghanistan,Abdul Ghani Ghani,1072441893,Stub,41.1,SOUTH ASIA
Afghanistan,Ashraf Ghani,1113195582,B,41.1,SOUTH ASIA
Afghanistan,Abdul Samad Ghaus,1072271854,Stub,41.1,SOUTH ASIA
Afghanistan,Ghulam Ghaus,1109361872,Stub,41.1,SOUTH ASIA
Afghanistan,Ghulam Muhammad Ghobar,1108886395,Stub,41.1,SOUTH ASIA
Afghanistan,Mohammad Gul (Helmand Council),1092523687,Stub,41.1,SOUTH ASIA
Afghanistan,Ghulam Haider Hamidi,1095018556,Start,41.1,SOUTH ASIA
Afghanistan,Rangina Hamidi,1104280812,C,41.1,SOUTH ASIA
Afghanistan,Abdul Malik Hamwar,1100874645,Stub,41.1,SOUTH ASIA
Afghanistan,Sayed Zafar Hashemi,1112804808,Start,41.1,SOUTH ASIA
Afghanistan,Qutbuddin Hilal,1104423275,Start,41.1,SOUTH ASIA
Afghanistan,Shahnaz Himmeti,909966254,Stub,41.1,SOUTH ASIA
Afghanistan,Anarkali Kaur Honaryar,1069574154,Start,41.1,SOUTH ASIA
Afghanistan,Mahboba Hoqomal,1092518990,Stub,41.1,SOUTH ASIA
Afghanistan,Musa Hotak,1094201417,Start,41.1,SOUTH ASIA
Afghanistan,Mirza Muhammad Ismail,1073524466,C,41.1,SOUTH ASIA
Afghanistan,Sayed Jalal,1078580238,Start,41.1,SOUTH ASIA
Afghanistan,Said Tayeb Jawad,1093621927,C,41.1,SOUTH ASIA
Afghanistan,Faizullah Kakar,1108932917,C,41.1,SOUTH ASIA
Afghanistan,Amin Karim,1106333491,C,41.1,SOUTH ASIA
Afghanistan,Sayed Jalal Karim,1060701067,Start,41.1,SOUTH ASIA
Afghanistan,Ahmed Wali Karzai,1090245979,GA,41.1,SOUTH ASIA
Afghanistan,Khadija Zahra Ahmadi,1115331693,Stub,41.1,SOUTH ASIA
Afghanistan,Hafizullah Shabaz Khail,1092416288,Start,41.1,SOUTH ASIA
Afghanistan,Rouh Gul Khairzad,925562571,Stub,41.1,SOUTH ASIA
Afghanistan,Masoud Khalili,1103105365,GA,41.1,SOUTH ASIA
Afghanistan,Mohammad Khan (athlete),1070779097,Stub,41.1,SOUTH ASIA
Afghanistan,Samoud Khan,1010948755,Start,41.1,SOUTH ASIA
Afghanistan,Farzana Kochai,1079430136,Stub,41.1,SOUTH ASIA
Afghanistan,Farida Kuchi,1109436134,Start,41.1,SOUTH ASIA
Afghanistan,Baran Khan Kudezai,1106151353,Start,41.1,SOUTH ASIA
Afghanistan,Azizullah Lodin,1102817004,Start,41.1,SOUTH ASIA
Afghanistan,Razaq Mamoon,1100189662,Start,41.1,SOUTH ASIA
Afghanistan,Fazel Ahmed Manawi,1106464575,Stub,41.1,SOUTH ASIA
Afghanistan,Moeen Marastial,1102907176,Start,41.1,SOUTH ASIA
Afghanistan,Ahmad Massoud,1112608262,C,41.1,SOUTH ASIA
Afghanistan,Ahmad Wali Massoud,1108236868,Start,41.1,SOUTH ASIA
Afghanistan,Mohammad Daud Miraki,1112192884,C,41.1,SOUTH ASIA
Afghanistan,Abdul Sattar Mirzakwal,1044450376,Stub,41.1,SOUTH ASIA
Afghanistan,Abdul Karim Misaq,1052669338,Stub,41.1,SOUTH ASIA
Afghanistan,Ali Mohammad (politician),1050463798,Stub,41.1,SOUTH ASIA
Afghanistan,Nasruddin Mohseni,1095044526,Start,41.1,SOUTH ASIA
Afghanistan,Davood Moradian,1106284627,Stub,41.1,SOUTH ASIA
Afghanistan,Zalmai Mujadidi,1104635001,Start,41.1,SOUTH ASIA
Afghanistan,Fazal Haq Mujahid,1113267490,C,41.1,SOUTH ASIA
Afghanistan,Rahmatullah Nabil,1112496538,Start,41.1,SOUTH ASIA
Afghanistan,Sardar Mohammad Nadir Naeem,1038680015,Stub,41.1,SOUTH ASIA
Afghanistan,Daoud Naji,1110983467,Start,41.1,SOUTH ASIA
Afghanistan,Gholam Rabani Nasher,916899472,Stub,41.1,SOUTH ASIA
Afghanistan,Muhammad Yunus Nawandish,1111494390,C,41.1,SOUTH ASIA
Afghanistan,Ali Maisam Nazary,1107279930,Start,41.1,SOUTH ASIA
Afghanistan,Ghulam Faroq Nijrabi,1093612575,Stub,41.1,SOUTH ASIA
Afghanistan,Zabih-U-llah Ghazi Noristani,1001786762,Start,41.1,SOUTH ASIA
Afghanistan,Mohammed Tahir Omar,996093541,Stub,41.1,SOUTH ASIA
Afghanistan,Nasrin Oryakhil,1097277701,Start,41.1,SOUTH ASIA
Afghanistan,Murad Quenili,1093963498,Stub,41.1,SOUTH ASIA
Afghanistan,Ghulam Mohammad Rigi,918256992,Stub,41.1,SOUTH ASIA
Afghanistan,Ghulam Hassan Safi,987269301,Stub,41.1,SOUTH ASIA
Afghanistan,Hanifa Safi,994195074,Stub,41.1,SOUTH ASIA
Afghanistan,Amrullah Saleh,1115022704,FA,41.1,SOUTH ASIA
Afghanistan,Mohammed Zia Salehi,889806024,Stub,41.1,SOUTH ASIA
Afghanistan,Abdul Majid Samim,1098092701,Stub,41.1,SOUTH ASIA
Afghanistan,Saber Sangar,1019860497,Stub,41.1,SOUTH ASIA
Afghanistan,Muhammad Arif Sarwari,1079170926,Start,41.1,SOUTH ASIA
Afghanistan,Sayed Nasim Mihanparast,1115496635,Stub,41.1,SOUTH ASIA
Afghanistan,Sayyid Husayn,1095559301,Stub,41.1,SOUTH ASIA
Afghanistan,Suhail Shaheen,1102910228,Start,41.1,SOUTH ASIA
Afghanistan,Mohammad Shakir Kargar,1096574840,C,41.1,SOUTH ASIA
Afghanistan,Baktash Siawash,1111917754,Stub,41.1,SOUTH ASIA
Afghanistan,Awtar Singh,1115100619,Stub,41.1,SOUTH ASIA
